Subject enpwer and eol data for     
eol deals from       to       enpower from       to      
desk total deals total mwh desk total deals total mwh
epmi long term california       epmi long term california      
epmi long term northwest       epmi long term northwest      
epmi long term southwest       epmi long term southwest      
epmi short term california         epmi short term california      
epmi short term northwest     epmi short term northwest    
epmi short term southwest         epmi short term southwest      
real time     real time    
grand total         grand total        
eol deals from       to       enpower from       to      
desk total deals total mwh desk total deals total mwh
epmi long term california   epmi long term california  
epmi long term northwest     epmi long term northwest    
epmi long term southwest     epmi long term southwest    
epmi short term california     epmi short term california    
epmi short term northwest     epmi short term northwest    
epmi short term southwest     epmi short term southwest    
real time     real time    
grand total     grand total      
eol deals from       to      
ees total deals total mwh
daily    
month  to  date    
ice volumes from       to      
delivery point total mwh epmi mwh price
cob  p  next day       
mid c  p  next day         
mid c  op  nov           
mid c  p  nov           
mid c  p  dec           
mid c  p  jan           
np    op  next day         
np    p  next day         
np    op  bal month         
np    p  bal month           
np    p  nov           
np    p  ql          
np    p  q           
np    p  q           
palo  p  next day         
palo  op  next day       
palo  p  bal month         
palo  p  nov           
palo  p  dec           
palo  p  q           
palo  p  q           
palo  p  ql          
sp    op  next day         
sp    p  next day         
sp    op  bal month         
sp    p  bal month           
sp    p  nov           
sp    p  q           
sp    p  q           
grand total          
